Date : 2022-12-10 00:46:55
Directory : /Users/maciejfratczak/sps
Total : 489 files,  21437 codes, 310 comments, 2466 blanks, all 24213 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| api/src/persistence/prisma/reservation                                                                                                   |          3 |        362 |          2 |         19 |        383 |
| api/src/persistence/prisma/user                                                                                                          |          2 |         86 |          0 |         12 |         98 |
| api/test                                                                                                                                 |         45 |      5,544 |        106 |        408 |      6,058 |
| api/test/e2e                                                                                                                             |          5 |      1,428 |          4 |         56 |      1,488 |
| api/test/unit                                                                                                                            |         34 |      3,941 |         97 |        340 |      4,378 |
| api/test/unit/application                                                                                                                |          3 |        272 |          0 |         25 |        297 |
| api/test/unit/application/driver                                                                                                         |          1 |         66 |          0 |          6 |         72 |
| api/test/unit/application/parking-lot                                                                                                    |          1 |         98 |          0 |          6 |        104 |
| api/test/unit/application/reservation                                                                                                    |          1 |        108 |          0 |         13 |        121 |
| api/test/unit/domain                                                                                                                     |          9 |      1,032 |          1 |         64 |      1,097 |
| api/test/unit/domain/driver                                                                                                              |          1 |         66 |          0 |          5 |         71 |
| api/test/unit/domain/parking-lot                                                                                                         |          2 |        300 |          0 |         19 |        319 |
| api/test/unit/domain/reservation                                                                                                         |          4 |        585 |          1 |         29 |        615 |
| api/test/unit/domain/time                                                                                                                |          2 |         81 |          0 |         11 |         92 |
| api/test/unit/infrastructure                                                                                                             |         17 |      2,275 |         96 |        219 |      2,590 |
| api/test/unit/infrastructure/email                                                                                                       |          1 |         93 |          0 |          4 |         97 |
| api/test/unit/infrastructure/security                                                                                                    |          9 |      1,832 |         93 |        159 |      2,084 |
| api/test/unit/infrastructure/security/authentication                                                                                     |          1 |        687 |         34 |         43 |        764 |
| api/test/unit/infrastructure/security/authorization                                                                                      |          4 |        379 |          1 |         34 |        414 |
| api/test/unit/infrastructure/security/authorization/policy                                                                               |          2 |        166 |          0 |         12 |        178 |
| api/test/unit/infrastructure/security/csrf                                                                                               |          1 |         61 |          0 |          5 |         66 |
| api/test/unit/infrastructure/security/user                                                                                               |          1 |        276 |          7 |         18 |        301 |
| api/test/unit/infrastructure/web                                                                                                         |          7 |        350 |          3 |         56 |        409 |
| api/test/unit/infrastructure/web/controller                                                                                              |          5 |        259 |          0 |         50 |        309 |
| api/test/unit/infrastructure/web/interceptor                                                                                             |          2 |         91 |          3 |          6 |        100 |
| api/test/unit/persistence                                                                                                                |          5 |        362 |          0 |         32 |        394 |
| frontend                                                                                                                                 |        320 |     10,764 |         93 |      1,419 |     12,276 |
| frontend/src                                                                                                                             |        309 |     10,374 |         89 |      1,404 |     11,867 |
| frontend/src/app                                                                                                                         |        295 |      9,735 |         29 |      1,346 |     11,110 |
| frontend/src/app/admin-dashboard                                                                                                         |         71 |      2,609 |          9 |        328 |      2,946 |
| frontend/src/app/admin-dashboard/drivers                                                                                                 |         18 |        851 |          9 |         98 |        958 |
| frontend/src/app/admin-dashboard/drivers/assign-parking-lot-dialog                                                                       |          4 |        153 |          0 |         16 |        169 |
| frontend/src/app/admin-dashboard/drivers/details                                                                                         |          4 |        286 |          9 |         30 |        325 |
| frontend/src/app/admin-dashboard/drivers/list                                                                                            |          4 |        117 |          0 |         14 |        131 |
| frontend/src/app/admin-dashboard/drivers/state                                                                                           |          4 |        237 |          0 |         34 |        271 |
| frontend/src/app/admin-dashboard/panel                                                                                                   |          3 |         55 |          0 |          6 |         61 |
| frontend/src/app/admin-dashboard/parking                                                                                                 |         24 |      1,034 |          0 |        137 |      1,171 |
| frontend/src/app/admin-dashboard/parking/change-capacity-dialog                                                                          |          4 |        122 |          0 |         19 |        141 |
| frontend/src/app/admin-dashboard/parking/change-hours-dialog                                                                             |          4 |        153 |          0 |         20 |        173 |
| frontend/src/app/admin-dashboard/parking/create                                                                                          |          3 |        158 |          0 |         12 |        170 |
| frontend/src/app/admin-dashboard/parking/details                                                                                         |          4 |        257 |          0 |         43 |        300 |
| frontend/src/app/admin-dashboard/parking/list                                                                                            |          3 |         50 |          0 |         11 |         61 |
| frontend/src/app/admin-dashboard/parking/state                                                                                           |          4 |        216 |          0 |         26 |        242 |
| frontend/src/app/admin-dashboard/reservations                                                                                            |          5 |         37 |          0 |          9 |         46 |
| frontend/src/app/admin-dashboard/reservations/list                                                                                       |          3 |          7 |          0 |          4 |         11 |
| frontend/src/app/admin-dashboard/users                                                                                                   |         16 |        481 |          0 |         63 |        544 |
| frontend/src/app/admin-dashboard/users/edit-role-dialog                                                                                  |          3 |         58 |          0 |          9 |         67 |
| frontend/src/app/admin-dashboard/users/list                                                                                              |          4 |        151 |          0 |         17 |        168 |
| frontend/src/app/admin-dashboard/users/state                                                                                             |          7 |        233 |          0 |         31 |        264 |
| frontend/src/app/auth                                                                                                                    |         24 |      1,098 |          9 |        124 |      1,231 |
| frontend/src/app/auth/confirm-account                                                                                                    |          2 |        105 |          9 |         14 |        128 |
| frontend/src/app/auth/resend-account-activation                                                                                          |          4 |        108 |          0 |         15 |        123 |
| frontend/src/app/auth/sign-in                                                                                                            |          8 |        462 |          0 |         49 |        511 |
| frontend/src/app/auth/sign-in/email-sign-in-form                                                                                         |          4 |        238 |          0 |         27 |        265 |
| frontend/src/app/auth/sign-up                                                                                                            |          4 |        300 |          0 |         29 |        329 |
| frontend/src/app/clerk-dashboard                                                                                                         |          6 |         61 |          0 |         17 |         78 |
| frontend/src/app/clerk-dashboard/dashboard                                                                                               |          4 |         30 |          0 |         13 |         43 |
| frontend/src/app/core                                                                                                                    |         30 |      1,989 |         10 |        271 |      2,270 |
| frontend/src/app/core/api                                                                                                                |          8 |        561 |          4 |        104 |        669 |
| frontend/src/app/core/guards                                                                                                             |          3 |        172 |          0 |         20 |        192 |
| frontend/src/app/core/interceptor                                                                                                        |          1 |         54 |          0 |          5 |         59 |
| frontend/src/app/core/model                                                                                                              |          6 |        181 |          0 |         25 |        206 |
| frontend/src/app/core/service                                                                                                            |          2 |        155 |          1 |         26 |        182 |
| frontend/src/app/core/state                                                                                                              |          8 |        621 |          5 |         87 |        713 |
| frontend/src/app/core/state/auth                                                                                                         |          5 |        384 |          3 |         43 |        430 |
| frontend/src/app/core/state/router                                                                                                       |          3 |        237 |          2 |         44 |        283 |
| frontend/src/app/driver-dashboard                                                                                                        |         45 |      1,409 |          1 |        173 |      1,583 |
| frontend/src/app/driver-dashboard/parking-lots                                                                                           |          5 |         79 |          0 |         11 |         90 |
| frontend/src/app/driver-dashboard/parking-lots/list                                                                                      |          3 |         45 |          0 |          6 |         51 |
| frontend/src/app/driver-dashboard/reservations                                                                                           |         18 |        612 |          0 |         88 |        700 |
| frontend/src/app/driver-dashboard/reservations/create                                                                                    |          3 |        189 |          0 |         23 |        212 |
| frontend/src/app/driver-dashboard/reservations/details                                                                                   |          4 |        136 |          0 |         26 |        162 |
| frontend/src/app/driver-dashboard/reservations/edit-time-dialog                                                                          |          4 |         30 |          0 |         13 |         43 |
| frontend/src/app/driver-dashboard/reservations/list                                                                                      |          4 |        126 |          0 |         16 |        142 |
| frontend/src/app/driver-dashboard/state                                                                                                  |          9 |        414 |          1 |         39 |        454 |
| frontend/src/app/driver-dashboard/state/driver                                                                                           |          3 |        152 |          1 |         12 |        165 |
| frontend/src/app/driver-dashboard/state/parking-lot                                                                                      |          3 |         41 |          0 |          6 |         47 |
| frontend/src/app/driver-dashboard/state/reservation                                                                                      |          3 |        221 |          0 |         21 |        242 |
| frontend/src/app/driver-dashboard/vehicles                                                                                               |          8 |        165 |          0 |         19 |        184 |
| frontend/src/app/driver-dashboard/vehicles/add-vehicle-dialog                                                                            |          3 |         59 |          0 |          9 |         68 |
| frontend/src/app/error                                                                                                                   |         17 |        245 |          0 |         35 |        280 |
| frontend/src/app/error/internal-server-error                                                                                             |          3 |         12 |          0 |          4 |         16 |
| frontend/src/app/error/not-found                                                                                                         |          3 |         19 |          0 |          5 |         24 |
| frontend/src/app/error/unauthorized                                                                                                      |          3 |         14 |          0 |          4 |         18 |
| frontend/src/app/shared                                                                                                                  |         98 |      2,197 |          0 |        385 |      2,582 |
| frontend/src/app/shared/components                                                                                                       |         83 |      1,692 |          0 |        327 |      2,019 |
| frontend/src/app/shared/components/breadcrumbs                                                                                           |          4 |         84 |          0 |         12 |         96 |
| frontend/src/app/shared/components/card                                                                                                  |          3 |         57 |          0 |         13 |         70 |
| frontend/src/app/shared/components/chip                                                                                                  |          3 |         28 |          0 |          9 |         37 |
| frontend/src/app/shared/components/confirm-action-dialog                                                                                 |          4 |         61 |          0 |         12 |         73 |
| frontend/src/app/shared/components/drawer                                                                                                |          4 |         90 |          0 |         21 |        111 |
| frontend/src/app/shared/components/form-error                                                                                            |          3 |         23 |          0 |          6 |         29 |
| frontend/src/app/shared/components/heading                                                                                               |          4 |         55 |          0 |         16 |         71 |
| frontend/src/app/shared/components/hours-form                                                                                            |          4 |        222 |          0 |         37 |        259 |
| frontend/src/app/shared/components/link                                                                                                  |          4 |         39 |          0 |         11 |         50 |
| frontend/src/app/shared/components/loading-spinner                                                                                       |          3 |         14 |          0 |          4 |         18 |
| frontend/src/app/shared/components/navbar                                                                                                |          3 |         68 |          0 |          8 |         76 |
| frontend/src/app/shared/components/number-chip                                                                                           |          3 |         20 |          0 |          5 |         25 |
| frontend/src/app/shared/components/page-header                                                                                           |          3 |         33 |          0 |          5 |         38 |
| frontend/src/app/shared/components/panel                                                                                                 |          4 |         57 |          0 |         12 |         69 |
| frontend/src/app/shared/components/parking-lot-expansion-panel                                                                           |          3 |         47 |          0 |          5 |         52 |
| frontend/src/app/shared/components/parking-lots-table                                                                                    |          4 |         93 |          0 |         16 |        109 |
| frontend/src/app/shared/components/reservation-expansion-panel                                                                           |          4 |         75 |          0 |         11 |         86 |
| frontend/src/app/shared/components/reservation-status-chip                                                                               |          3 |         65 |          0 |         13 |         78 |
| frontend/src/app/shared/components/reservations-table                                                                                    |          4 |        178 |          0 |         28 |        206 |
| frontend/src/app/shared/components/sync-table                                                                                            |          2 |         49 |          0 |         13 |         62 |
| frontend/src/app/shared/components/table                                                                                                 |          3 |        104 |          0 |         21 |        125 |
| frontend/src/app/shared/components/text                                                                                                  |          4 |         52 |          0 |         12 |         64 |
| frontend/src/app/shared/components/time-left                                                                                             |          4 |         75 |          0 |         17 |         92 |
| frontend/src/app/shared/components/weekdays-form                                                                                         |          3 |        103 |          0 |         20 |        123 |
| frontend/src/app/shared/pipe                                                                                                             |         10 |        196 |          0 |         31 |        227 |
| frontend/src/app/shared/service                                                                                                          |          2 |         59 |          0 |         12 |         71 |
| frontend/src/assets                                                                                                                      |          3 |        426 |          0 |          3 |        429 |
| frontend/src/assets/i18n                                                                                                                 |          2 |        422 |          0 |          2 |        424 |
| frontend/src/environments                                                                                                                |          2 |         12 |          0 |          2 |         14 |
| frontend/test                                                                                                                            |          3 |         71 |          0 |          6 |         77 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/maciejfratczak/sps/.github/workflows/pr.yml                                                                                       | YAML               |         85 |          0 |          3 |         88 |
| /Users/maciejfratczak/sps/aio/dev/clean_postgres.sh                                                                                      | Shell Script       |          1 |          0 |          1 |          2 |
| /Users/maciejfratczak/sps/aio/dev/docker-compose.yml                                                                                     | YAML               |         16 |          0 |          1 |         17 |
| /Users/maciejfratczak/sps/aio/dev/infra-down.sh                                                                                          | Shell Script       |          1 |          0 |          0 |          1 |
| /Users/maciejfratczak/sps/aio/dev/infra-up.sh                                                                                            | Shell Script       |          5 |          1 |          1 |          7 |
| /Users/maciejfratczak/sps/api/.eslintrc.js                                                                                               | JavaScript         |         25 |          0 |          1 |         26 |
| /Users/maciejfratczak/sps/api/.prettierrc                                                                                                | JSON               |          4 |          0 |          0 |          4 |
| /Users/maciejfratczak/sps/api/Dockerfile                                                                                                 | Docker             |         13 |          1 |          6 |         20 |
| /Users/maciejfratczak/sps/api/README.md                                                                                                  | Markdown           |         51 |          2 |         21 |         74 |
| /Users/maciejfratczak/sps/api/nest-cli.json                                                                                              | JSON               |          7 |          4 |          0 |         11 |
| /Users/maciejfratczak/sps/api/package.json                                                                                               | JSON               |        125 |          0 |          1 |        126 |
| /Users/maciejfratczak/sps/api/prisma/migrations/20221020123109_init/migration.sql                                                        | SQL                |         19 |          4 |          6 |         29 |
| /Users/maciejfratczak/sps/api/prisma/migrations/20221021164801_role/migration.sql                                                        | SQL                |          2 |          2 |          2 |          6 |
| /Users/maciejfratczak/sps/api/prisma/migrations/20221024210303_parking_lots_and_drivers/migration.sql                                    | SQL                |         22 |          6 |          9 |         37 |
| /Users/maciejfratczak/sps/api/prisma/migrations/20221024220538_implicit_many_to_many/migration.sql                                       | SQL                |         11 |         14 |          8 |         33 |
| /Users/maciejfratczak/sps/api/prisma/migrations/20221025103053_parking_lot_operation_hours/migration.sql                                 | SQL                |          4 |         10 |          1 |         15 |
| /Users/maciejfratczak/sps/api/prisma/migrations/20221027162050_created_at_parking_lot/migration.sql                                      | SQL                |          1 |          1 |          1 |          3 |
| /Users/maciejfratczak/sps/api/prisma/migrations/20221027182320_change_hours_format/migration.sql                                         | SQL                |          4 |          8 |          1 |         13 |
| /Users/maciejfratczak/sps/api/prisma/migrations/20221109195117_reservations/migration.sql                                                | SQL                |         22 |          6 |          8 |         36 |
| /Users/maciejfratczak/sps/api/prisma/migrations/20221110082739_time_of_leave_optional/migration.sql                                      | SQL                |          1 |          1 |          1 |          3 |
| /Users/maciejfratczak/sps/api/prisma/migrations/20221118164327_rrule_operation_time/migration.sql                                        | SQL                |          3 |          9 |          1 |         13 |
| /Users/maciejfratczak/sps/api/prisma/schema.prisma                                                                                       | Prisma             |         79 |          0 |         11 |         90 |
| /Users/maciejfratczak/sps/api/prisma/seed.ts                                                                                             | TypeScript         |        130 |          1 |          3 |        134 |
| /Users/maciejfratczak/sps/api/scripts/run-e2e.sh                                                                                         | Shell Script       |          3 |          1 |          1 |          5 |
| /Users/maciejfratczak/sps/api/scripts/setup-prisma.sh                                                                                    | Shell Script       |          2 |          1 |          1 |          4 |
| /Users/maciejfratczak/sps/api/src/app.module.ts                                                                                          | TypeScript         |         25 |          0 |          2 |         27 |
| /Users/maciejfratczak/sps/api/src/application/application.exception.ts                                                                   | TypeScript         |         10 |          0 |          2 |         12 |
| /Users/maciejfratczak/sps/api/src/application/application.module.ts                                                                      | TypeScript         |         36 |          0 |          4 |         40 |
| /Users/maciejfratczak/sps/api/src/application/driver/driver.command.ts                                                                   | TypeScript         |         20 |          0 |          5 |         25 |
| /Users/maciejfratczak/sps/api/src/application/driver/driver.finder.ts                                                                    | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/maciejfratczak/sps/api/src/application/driver/driver.read-model.ts                                                                | TypeScript         |         39 |          0 |          4 |         43 |
| /Users/maciejfratczak/sps/api/src/application/driver/driver.service.ts                                                                   | TypeScript         |         29 |          0 |          5 |         34 |
| /Users/maciejfratczak/sps/api/src/application/language.service.ts                                                                        | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/maciejfratczak/sps/api/src/application/parking-lot/parking-lot.command.ts                                                         | TypeScript         |         69 |          0 |         16 |         85 |
| /Users/maciejfratczak/sps/api/src/application/parking-lot/parking-lot.finder.ts                                                          | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/maciejfratczak/sps/api/src/application/parking-lot/parking-lot.read-model.ts                                                      | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/maciejfratczak/sps/api/src/application/parking-lot/parking-lot.service.ts                                                         | TypeScript         |         50 |          0 |          4 |         54 |
| /Users/maciejfratczak/sps/api/src/application/reservation/reservation.command.ts                                                         | TypeScript         |         28 |          0 |          8 |         36 |
| /Users/maciejfratczak/sps/api/src/application/reservation/reservation.finder.ts                                                          | TypeScript         |         10 |          0 |          2 |         12 |
| /Users/maciejfratczak/sps/api/src/application/reservation/reservation.read-model.ts                                                      | TypeScript         |         81 |          0 |         15 |         96 |
| /Users/maciejfratczak/sps/api/src/application/reservation/reservation.service.ts                                                         | TypeScript         |         60 |          0 |          8 |         68 |
| /Users/maciejfratczak/sps/api/src/configuration.module.ts                                                                                | TypeScript         |         93 |          0 |         26 |        119 |
| /Users/maciejfratczak/sps/api/src/domain/domain.exception.ts                                                                             | TypeScript         |         17 |          0 |          2 |         19 |
| /Users/maciejfratczak/sps/api/src/domain/driver/driver.repository.ts                                                                     | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/maciejfratczak/sps/api/src/domain/driver/driver.ts                                                                                | TypeScript         |         50 |          0 |          7 |         57 |
| /Users/maciejfratczak/sps/api/src/domain/driver/vehicle.ts                                                                               | TypeScript         |         10 |          0 |          3 |         13 |
| /Users/maciejfratczak/sps/api/src/domain/id.ts                                                                                           | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/maciejfratczak/sps/api/src/domain/parking-lot-availability.ts                                                                     | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/maciejfratczak/sps/api/src/domain/parking-lot/address.ts                                                                          | TypeScript         |         16 |          0 |          4 |         20 |
| /Users/maciejfratczak/sps/api/src/domain/parking-lot/operation-time.ts                                                                   | TypeScript         |        122 |          0 |         12 |        134 |
| /Users/maciejfratczak/sps/api/src/domain/parking-lot/parking-lot.repository.ts                                                           | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/maciejfratczak/sps/api/src/domain/parking-lot/parking-lot.ts                                                                      | TypeScript         |         61 |          0 |         12 |         73 |
| /Users/maciejfratczak/sps/api/src/domain/reservation/parking-ticket.ts                                                                   | TypeScript         |         63 |          0 |          7 |         70 |
| /Users/maciejfratczak/sps/api/src/domain/reservation/reservation-status.ts                                                               | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/maciejfratczak/sps/api/src/domain/reservation/reservation.factory.ts                                                              | TypeScript         |         40 |          0 |          3 |         43 |
| /Users/maciejfratczak/sps/api/src/domain/reservation/reservation.repository.ts                                                           | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/maciejfratczak/sps/api/src/domain/reservation/reservation.ts                                                                      | TypeScript         |        151 |         13 |         15 |        179 |
| /Users/maciejfratczak/sps/api/src/domain/reservation/scheduled-parking-time.ts                                                           | TypeScript         |         53 |          0 |          9 |         62 |
| /Users/maciejfratczak/sps/api/src/domain/time/moment.ts                                                                                  | TypeScript         |         47 |          0 |         10 |         57 |
| /Users/maciejfratczak/sps/api/src/domain/time/period.ts                                                                                  | TypeScript         |         47 |          0 |         10 |         57 |
| /Users/maciejfratczak/sps/api/src/domain/validate.decorator.ts                                                                           | TypeScript         |         36 |          0 |          4 |         40 |
| /Users/maciejfratczak/sps/api/src/error.ts                                                                                               | TypeScript         |         33 |          0 |          1 |         34 |
| /Users/maciejfratczak/sps/api/src/i18n/en/domain.json                                                                                    | JSON               |         11 |          0 |          1 |         12 |
| /Users/maciejfratczak/sps/api/src/i18n/en/email.json                                                                                     | JSON               |          3 |          0 |          1 |          4 |
| /Users/maciejfratczak/sps/api/src/i18n/en/persistence.json                                                                               | JSON               |         10 |          0 |          1 |         11 |
| /Users/maciejfratczak/sps/api/src/i18n/en/security.json                                                                                  | JSON               |         13 |          0 |          1 |         14 |
| /Users/maciejfratczak/sps/api/src/i18n/pl/domain.json                                                                                    | JSON               |         11 |          0 |          1 |         12 |
| /Users/maciejfratczak/sps/api/src/i18n/pl/email.json                                                                                     | JSON               |          3 |          0 |          1 |          4 |
| /Users/maciejfratczak/sps/api/src/i18n/pl/persistence.json                                                                               | JSON               |         10 |          0 |          1 |         11 |
| /Users/maciejfratczak/sps/api/src/i18n/pl/security.json                                                                                  | JSON               |         13 |          0 |          1 |         14 |
| /Users/maciejfratczak/sps/api/src/infrastructure/email/email.service.ts                                                                  | TypeScript         |         64 |          0 |          5 |         69 |
| /Users/maciejfratczak/sps/api/src/infrastructure/email/templates/account-registration-confirmation.en.hbs                                | Handlebars         |        105 |          0 |         12 |        117 |
| /Users/maciejfratczak/sps/api/src/infrastructure/email/templates/account-registration-confirmation.form.ts                               | TypeScript         |         31 |          0 |          4 |         35 |
| /Users/maciejfratczak/sps/api/src/infrastructure/email/templates/account-registration-confirmation.pl.hbs                                | Handlebars         |        105 |          0 |         14 |        119 |
| /Users/maciejfratczak/sps/api/src/infrastructure/infrastructure.module.ts                                                                | TypeScript         |         92 |          0 |          5 |         97 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authentication/authentication.service.ts                                       | TypeScript         |        292 |          2 |         40 |        334 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/jwt-auth.guard.ts                                                | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/jwt-refresh.guard.ts                                             | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/jwt.strategy.ts                                                  | TypeScript         |         71 |          0 |          6 |         77 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/policy/check-policies.decorator.ts                               | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/policy/driver.policy.ts                                          | TypeScript         |         30 |          0 |          2 |         32 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/policy/policies.guard.ts                                         | TypeScript         |         32 |          0 |          3 |         35 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/policy/policy.handler.ts                                         | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/policy/reservation.policy.ts                                     | TypeScript         |         65 |          0 |          2 |         67 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/reservation.authorization.service.ts                             | TypeScript         |         44 |          0 |          8 |         52 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/role.guard.ts                                                    | TypeScript         |         16 |          0 |          4 |         20 |
